demand_metric,weekday_metric,correlation,abs_correlation
qty,weekday_Friday,0.4899452701297501,0.4899452701297501
qty_liquor,weekday_Saturday,0.4690393007554519,0.4690393007554519
qty_food,weekday_Friday,0.46252638654552763,0.46252638654552763
qty,weekday_Saturday,0.4617877010534066,0.4617877010534066
net_sales,weekday_Saturday,0.4444106608215406,0.4444106608215406
net_sales,weekday_Friday,0.4406032682559706,0.4406032682559706
qty_food,weekday_Saturday,0.4352230713414016,0.4352230713414016
qty_liquor,weekday_Friday,0.43288603196445985,0.43288603196445985
orders,weekday_Friday,0.37750343409402504,0.37750343409402504
net_sales,weekday_Monday,-0.3730669876529422,0.3730669876529422
orders,weekday_Monday,-0.33841275494823203,0.33841275494823203
qty_wine_sake,weekday_Sunday,-0.31875906126713244,0.31875906126713244
qty_liquor,weekday_Sunday,-0.296204888653882,0.296204888653882
net_sales,weekday_Tuesday,-0.2933245781280144,0.2933245781280144
qty_wine_sake,weekday_Monday,-0.2916041337148201,0.2916041337148201
qty,weekday_Monday,-0.2868938509435004,0.2868938509435004
orders,weekday_Tuesday,-0.27870307295586844,0.27870307295586844
qty_food,weekday_Thursday,-0.2755732344726802,0.2755732344726802
qty_food,weekday_Monday,-0.26659899050291436,0.26659899050291436
qty_na_beverage,weekday_Saturday,0.2633942628920887,0.2633942628920887
qty,weekday_Thursday,-0.24320414525990608,0.24320414525990608
qty_beer,weekday_Wednesday,0.24024352072006755,0.24024352072006755
qty_wine_sake,weekday_Friday,0.22605948191349118,0.22605948191349118
avg_qty_per_order,weekday_Monday,0.22392163031902773,0.22392163031902773
qty,weekday_Tuesday,-0.21873074410009333,0.21873074410009333
qty_food,weekday_Tuesday,-0.21065201832064703,0.21065201832064703
qty_liquor,weekday_Monday,-0.2104501865967304,0.2104501865967304
qty_wine_sake,weekday_Saturday,0.2084846901979872,0.2084846901979872
orders,weekday_Saturday,0.20746452168328633,0.20746452168328633
qty_beer,weekday_Tuesday,-0.20174629132793892,0.20174629132793892
qty_liquor,weekday_Wednesday,-0.19979617187790297,0.19979617187790297
avg_qty_per_order,weekday_Thursday,-0.19376045436005523,0.19376045436005523
qty_liquor,weekday_Tuesday,-0.18975359721373858,0.18975359721373858
qty_na_beverage,weekday_Friday,0.17789860081268336,0.17789860081268336
avg_net_sales_per_order,weekday_Sunday,-0.1709306488633238,0.1709306488633238
avg_qty_per_order,weekday_Tuesday,0.1699717258052585,0.1699717258052585
qty_na_beverage,weekday_Thursday,-0.16978375831023126,0.16978375831023126
qty_beer,weekday_Friday,0.16043980465584418,0.16043980465584418
avg_net_sales_per_order,weekday_Saturday,0.16014518325183275,0.16014518325183275
qty_na_beverage,weekday_Monday,-0.15943436030975533,0.15943436030975533
qty_wine_sake,weekday_Wednesday,0.1522453567083744,0.1522453567083744
qty_beer,weekday_Sunday,-0.1464975648219381,0.1464975648219381
avg_qty_per_order,weekday_Wednesday,-0.1354321739791323,0.1354321739791323
qty_food,weekday_Wednesday,-0.13329262524228994,0.13329262524228994
qty,weekday_Wednesday,-0.12373184282383135,0.12373184282383135
net_sales,weekday_Sunday,-0.11686275339474564,0.11686275339474564
qty_beer,weekday_Saturday,-0.11580382787415994,0.11580382787415994
avg_net_sales_per_order,weekday_Wednesday,-0.1015964764709761,0.1015964764709761
avg_qty_per_order,weekday_Saturday,0.10155699803119984,0.10155699803119984
avg_qty_per_order,weekday_Sunday,-0.09914091985232401,0.09914091985232401
avg_net_sales_per_order,weekday_Thursday,0.08731686164056533,0.08731686164056533
qty,weekday_Sunday,-0.08636385395616034,0.08636385395616034
qty_na_beverage,weekday_Wednesday,-0.0785883854255324,0.0785883854255324
avg_qty_per_order,weekday_Friday,-0.061503842272034634,0.061503842272034634
net_sales,weekday_Wednesday,-0.056947293133917165,0.056947293133917165
net_sales,weekday_Thursday,-0.054163853970322196,0.054163853970322196
avg_net_sales_per_order,weekday_Friday,-0.05262101707190565,0.05262101707190565
qty_wine_sake,weekday_Thursday,0.04679660641535044,0.04679660641535044
avg_net_sales_per_order,weekday_Monday,0.04401047450722056,0.04401047450722056
qty_beer,weekday_Thursday,0.037664856864731304,0.037664856864731304
avg_net_sales_per_order,weekday_Tuesday,0.03477881788384,0.03477881788384
qty_na_beverage,weekday_Sunday,-0.032990698983182895,0.032990698983182895
qty_wine_sake,weekday_Tuesday,-0.030532477132867143,0.030532477132867143
qty_beer,weekday_Monday,0.026360265154082924,0.026360265154082924
qty_food,weekday_Sunday,-0.018315331216025774,0.018315331216025774
orders,weekday_Sunday,0.018266295198097977,0.018266295198097977
orders,weekday_Wednesday,0.01347646667948564,0.01347646667948564
qty_liquor,weekday_Thursday,-0.0109957681916106,0.0109957681916106
orders,weekday_Thursday,-0.00807776165426994,0.00807776165426994
qty_na_beverage,weekday_Tuesday,-0.004492144956714456,0.004492144956714456
