target,rows,features,r_squared,adjusted_r_squared
net_sales,118,21,0.6471949229485858,0.570018812343589
qty,118,21,0.6205813558295821,0.5375835274173031
orders,118,21,0.5106326102600394,0.40358349375442304
avg_qty_per_order,118,21,0.38915517140557143,0.2555328651505402
