weekday,days,avg_qty,avg_orders,avg_net_sales,avg_food_qty,avg_liquor_qty
Friday,17,557.8235294117648,40.88235294117647,6367.178235294117,469.29411764705884,47.0
Saturday,17,551.5294117647059,36.705882352941174,6378.6241176470585,464.0,48.05882352941177
Sunday,17,429.0,32.05882352941177,4691.309411764705,376.05882352941177,25.647058823529413
Wednesday,17,420.6470588235294,31.941176470588236,4871.428823529412,353.7647058823529,28.470588235294116
Tuesday,17,399.4117647058824,24.764705882352942,4160.825294117647,338.7647058823529,28.764705882352942
Thursday,17,393.94117647058823,31.41176470588235,4879.796470588236,326.1764705882353,34.0
Monday,16,381.875,23.0,3880.8762500000003,326.0625,27.9375
