month,days,avg_qty,avg_orders,avg_net_sales,avg_food_qty,avg_liquor_qty
January,30,471.1666666666667,28.766666666666666,4838.7609999999995,400.3,36.166666666666664
April,30,449.73333333333335,37.96666666666667,5539.1066666666675,380.3333333333333,35.833333333333336
February,27,445.81481481481484,27.51851851851852,4930.168888888888,375.14814814814815,34.333333333333336
March,31,426.96774193548384,31.774193548387096,4857.3932258064515,362.7741935483871,31.06451612903226
