Order #,Sent Date,Menu Item,Menu Group,Menu,Sales Category,Net Price,Qty,Void?
41,4/30/26 8:20 PM,Broth,Course 1,FOOD,Food,0.00,5.0,false
41,4/30/26 8:20 PM,Banchan Set,Course 1,FOOD,Food,0.00,2.0,false
41,4/30/26 8:20 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,5.0,false
38,4/30/26 8:23 PM,Classic Tasting Plate,For the Grill,FOOD,Food,45.00,1.0,false
45,4/30/26 8:26 PM,Chef's Tasting Plate,For the Grill,FOOD,Food,75.00,1.0,false
45,4/30/26 8:26 PM,1/2 Korean Fried Chicken,For the Table,FOOD,Food,13.00,1.0,false
45,4/30/26 8:26 PM,1/2 Scallion Pancake,For the Table,FOOD,Food,10.00,1.0,false
45,4/30/26 8:26 PM,Kimchi Fried Rice,Stews/Rice,FOOD,Food,16.00,1.0,false
45,4/30/26 8:28 PM,G-Hanna Takju 16,BY THE GLASS,BEVERAGE,Beer,16.00,1.0,false
46,4/30/26 8:30 PM,Bulgogi Rice Bowl,PLATES & BOWLS,PERILLA TO-GO,Food,24.00,1.0,false
9,4/30/26 8:32 PM,(5360) Chateau Grand Soussans '20,WINES BY THE BOTTLE,BEVERAGE,Wine,120.00,1.0,false
41,4/30/26 8:34 PM,G-Chateau Les Vieilles Pierres,BY THE GLASS,BEVERAGE,Wine,16.00,1.0,false
41,4/30/26 8:34 PM,Jinro 'Is Back',SOJU & MAKGEOLLI,BEVERAGE,Liquor,25.00,1.0,false
41,4/30/26 8:34 PM,Best Day Brewing Non-Alcoholic Kolsch,BEER,BEVERAGE,Beer,9.00,1.0,false
41,4/30/26 8:46 PM,Set Refill,Banchan/Accompaniments,FOOD,Food,0.00,1.0,false
41,4/30/26 8:46 PM,Classic Tasting Plate,For the Grill,FOOD,Food,45.00,1.0,false
41,4/30/26 8:46 PM,American F1 Bavette,For the Grill,FOOD,Food,21.60,1.0,false
41,4/30/26 8:46 PM,Spicy Pork Collar,For the Grill,FOOD,Food,14.40,1.0,false
41,4/30/26 8:46 PM,LA Galbi,For the Grill,FOOD,Food,19.20,1.0,false
41,4/30/26 8:46 PM,Scallion Pancake,For the Table,FOOD,Food,16.00,1.0,false
41,4/30/26 8:46 PM,Rice Cake Royale,For the Table,FOOD,Food,48.00,1.0,false
41,4/30/26 8:46 PM,Gochujang Riblets,For the Table,FOOD,Food,0.00,1.0,false
41,4/30/26 8:46 PM,Dwenjang Potatoes,For the Table,FOOD,Food,0.00,2.0,false
41,4/30/26 8:46 PM,Korean Fried Chicken,For the Table,FOOD,Food,22.00,1.0,false
41,4/30/26 8:46 PM,Soondubu Jjigae,Stews/Rice,FOOD,Food,0.00,1.0,false
41,4/30/26 8:46 PM,Kimchi Fried Rice,Stews/Rice,FOOD,Food,9.60,1.0,false
41,4/30/26 8:46 PM,Garlic Rice,Stews/Rice,FOOD,Food,6.60,1.0,false
45,4/30/26 9:06 PM,Hopewell Brewing Co. 'Going Places' IPA,BEER,BEVERAGE,Beer,14.00,1.0,false
41,4/30/26 9:08 PM,Moody Tongue,BEER,BEVERAGE,Beer,12.00,1.0,false
45,4/30/26 9:10 PM,Moody Tongue,BEER,BEVERAGE,Beer,12.00,1.0,false
9,4/30/26 9:24 PM,(5360) Chateau Grand Soussans '20,WINES BY THE BOTTLE,BEVERAGE,Wine,120.00,1.0,false
45,4/30/26 9:38 PM,Hopewell Brewing Co. 'Going Places' IPA,BEER,BEVERAGE,Beer,14.00,1.0,false
49,4/30/26 10:30 PM,Low Yield Theory,,,Wine,36.00,2.0,false
49,4/30/26 10:33 PM,2019 Audeant Pinot,,,Wine,43.00,1.0,false
49,4/30/26 10:33 PM,Whitcraft Chardonnay,,,Wine,45.00,1.0,false
49,4/30/26 10:33 PM,Domaine De La Racauderie,,,Wine,15.00,1.0,false
