Order #,Sent Date,Menu Item,Menu Group,Menu,Sales Category,Net Price,Qty,Void?
43,4/9/26 7:56 PM,1L Mtn Sparkling,NA BEVERAGES,BEVERAGE,NA Beverage,10.00,1.0,false
44,4/9/26 7:58 PM,1L Mtn Sparkling,NA BEVERAGES,BEVERAGE,NA Beverage,10.00,1.0,false
43,4/9/26 8:02 PM,Broth,Course 1,FOOD,Food,0.00,3.0,false
43,4/9/26 8:02 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
43,4/9/26 8:02 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,3.0,false
43,4/9/26 8:02 PM,Jinro 'Is Back',SOJU & MAKGEOLLI,BEVERAGE,Liquor,25.00,1.0,false
43,4/9/26 8:03 PM,Ssam,Banchan/Accompaniments,FOOD,Food,5.00,1.0,false
43,4/9/26 8:03 PM,Marinated Short Rib,For the Grill,FOOD,Food,56.00,2.0,false
43,4/9/26 8:03 PM,USDA Prime Short Rib,For the Grill,FOOD,Food,26.00,1.0,false
43,4/9/26 8:03 PM,Scallion Pancake,For the Table,FOOD,Food,16.00,1.0,false
27,4/9/26 8:05 PM,Set Refill,Banchan/Accompaniments,FOOD,Food,0.00,1.0,false
44,4/9/26 8:06 PM,Broth,Course 1,FOOD,Food,0.00,3.0,false
44,4/9/26 8:06 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
44,4/9/26 8:06 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,3.0,false
45,4/9/26 8:06 PM,1L Mtn Spring,NA BEVERAGES,BEVERAGE,NA Beverage,10.00,1.0,false
38,4/9/26 8:08 PM,Moody Tongue,BEER,BEVERAGE,Beer,12.00,1.0,false
46,4/9/26 8:08 PM,Broth,Course 1,FOOD,Food,0.00,2.0,false
46,4/9/26 8:08 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
46,4/9/26 8:08 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,2.0,false
48,4/9/26 8:13 PM,Soondubu Jigae,STEWS,PERILLA TO-GO,Food,20.50,1.0,false
48,4/9/26 8:13 PM,Jjajangmyeon,RICE CAKES & NOODLES,PERILLA TO-GO,Food,15.00,1.0,false
48,4/9/26 8:13 PM,Sac Sac Grape,DRINKS,PERILLA TO-GO,NA Beverage,3.00,1.0,false
48,4/9/26 8:13 PM,Milkis,DRINKS,PERILLA TO-GO,NA Beverage,3.00,1.0,false
45,4/9/26 8:12 PM,Broth,Course 1,FOOD,Food,0.00,2.0,false
45,4/9/26 8:12 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
45,4/9/26 8:12 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,2.0,false
47,4/9/26 8:12 PM,Q Club Soda,NA BEVERAGES,BEVERAGE,NA Beverage,5.00,1.0,false
47,4/9/26 8:12 PM,1L Mtn Spring,NA BEVERAGES,BEVERAGE,NA Beverage,10.00,1.0,false
45,4/9/26 8:13 PM,Q Club Soda,NA BEVERAGES,BEVERAGE,NA Beverage,6.00,1.0,false
45,4/9/26 8:13 PM,Terra Korean Lager,BEER,BEVERAGE,Beer,9.00,1.0,false
49,4/9/26 8:20 PM,Fire Chicken,MAINS,PERILLA TO-GO,Food,35.00,1.0,false
49,4/9/26 8:20 PM,Bulgogi,MAINS,PERILLA TO-GO,Food,39.00,1.0,false
49,4/9/26 8:20 PM,Napkin,UTENSILS,PERILLA TO-GO,Food,0.00,1.0,false
49,4/9/26 8:20 PM,Chopsticks,UTENSILS,PERILLA TO-GO,Food,0.00,1.0,false
49,4/9/26 8:20 PM,Perilla Ranch,SIR CHICKEN TO-GO,SIR CHICKEN TO-GO,Sir Chicken,1.00,1.0,false
49,4/9/26 8:20 PM,Sir Chicken Spicy Fries,SIR CHICKEN TO-GO,SIR CHICKEN TO-GO,Sir Chicken,7.00,1.0,false
49,4/9/26 8:20 PM,Soondubu Jigae,STEWS,PERILLA TO-GO,Food,41.00,2.0,false
50,4/9/26 8:24 PM,Bibimbop,PLATES & BOWLS,PERILLA TO-GO,Food,18.00,1.0,false
50,4/9/26 8:24 PM,Kimchi Fried Rice,PLATES & BOWLS,PERILLA TO-GO,Food,20.00,1.0,false
44,4/9/26 8:22 PM,Ssam,Banchan/Accompaniments,FOOD,Food,5.00,1.0,false
44,4/9/26 8:22 PM,Rice,Banchan/Accompaniments,FOOD,Food,0.00,3.0,false
44,4/9/26 8:22 PM,Marinated Short Rib,For the Grill,FOOD,Food,28.00,1.0,false
44,4/9/26 8:22 PM,Classic Tasting Plate,For the Grill,FOOD,Food,45.00,1.0,false
44,4/9/26 8:22 PM,Korean Fried Chicken,For the Table,FOOD,Food,22.00,1.0,false
47,4/9/26 8:22 PM,Broth,Course 1,FOOD,Food,0.00,2.0,false
47,4/9/26 8:22 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
47,4/9/26 8:22 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,2.0,false
46,4/9/26 8:22 PM,Old Friend,COCKTAILS,BEVERAGE,Liquor,16.00,1.0,false
46,4/9/26 8:22 PM,Smoke & Spice,COCKTAILS,BEVERAGE,Liquor,16.00,1.0,false
47,4/9/26 8:22 PM,Scallion Pancake,For the Table,FOOD,Food,16.00,1.0,false
47,4/9/26 8:22 PM,Ssam,Banchan/Accompaniments,FOOD,Food,5.00,1.0,false
47,4/9/26 8:22 PM,Chef's Tasting Plate,For the Grill,FOOD,Food,75.00,1.0,false
47,4/9/26 8:22 PM,Garlic Rice,Stews/Rice,FOOD,Food,11.00,1.0,false
50,4/9/26 8:24 PM,4oz of Kimchi,BANCHAN,PERILLA TO-GO,Food,3.00,1.0,false
50,4/9/26 8:24 PM,Chopsticks,UTENSILS,PERILLA TO-GO,Food,0.00,2.0,false
50,4/9/26 8:24 PM,Korean Fried Chicken Wings,STARTERS,PERILLA TO-GO,Food,22.00,1.0,false
51,4/9/26 8:25 PM,Aloe From The Other Side,COCKTAILS,BEVERAGE,NA Beverage,12.00,1.0,false
