Order #,Sent Date,Menu Item,Menu Group,Menu,Sales Category,Net Price,Qty,Void?
1,2/1/26 4:34 PM,Seaweed Salad,STARTERS,FOOD,Food,0.00,1.0,false
1,2/1/26 4:34 PM,Pork Belly,STARTERS,FOOD,Food,0.00,1.0,false
1,2/1/26 4:34 PM,Noriko Oyster,STARTERS,FOOD,Food,0.00,1.0,false
1,2/1/26 4:34 PM,Yellowtail,CHEFS SET,FOOD,Food,0.00,1.0,false
1,2/1/26 4:34 PM,Bluefin Tuna Poke,CHEFS SET,FOOD,Food,0.00,1.0,false
1,2/1/26 4:34 PM,Ika Aburi,PREMIUM A LA CARTE,FOOD,Food,0.00,1.0,false
1,2/1/26 4:34 PM,Crab Motoyaki,PREMIUM A LA CARTE,FOOD,Food,0.00,1.0,false
1,2/1/26 4:34 PM,Bluefin Tuna Avocado,CLASSICS A LA CARTE,FOOD,Food,0.00,1.0,false
1,2/1/26 4:34 PM,California,CLASSICS A LA CARTE,FOOD,Food,0.00,1.0,false
2,2/1/26 5:05 PM,Noriko Salad,STARTERS,FOOD,Food,12.00,1.0,false
2,2/1/26 5:05 PM,Nori Chips & Dip,STARTERS,FOOD,Food,10.00,1.0,false
2,2/1/26 5:05 PM,Salmon Crudo,STARTERS,FOOD,Food,12.00,1.0,false
2,2/1/26 5:06 PM,Bluefin Tuna Toro,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
2,2/1/26 5:06 PM,Crab Motoyaki,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
2,2/1/26 5:06 PM,California,CLASSICS A LA CARTE,FOOD,Food,8.00,1.0,false
2,2/1/26 5:06 PM,Bay Scallop Dynamite,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
3,2/1/26 5:06 PM,Mountain Valley Sparkling,NA BEV,BEV,NA Beverage,10.00,1.0,false
4,2/1/26 5:08 PM,Tokyo Story,COCKTAILS,BEV,Liquor,17.00,1.0,false
4,2/1/26 5:08 PM,Classic Highball,COCKTAILS,BEV,Liquor,14.00,1.0,false
5,2/1/26 5:12 PM,Seaweed Salad,STARTERS,FOOD,Food,11.00,1.0,false
5,2/1/26 5:12 PM,Noriko Oyster,STARTERS,FOOD,Food,24.00,4.0,false
5,2/1/26 5:12 PM,SIGNATURE SET,SIGNATURE SET,FOOD,Food,29.00,1.0,false
5,2/1/26 5:12 PM,Yellowtail,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,2/1/26 5:12 PM,California,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,2/1/26 5:12 PM,King Salmon Avocado,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,2/1/26 5:12 PM,Bluefin Spicy Tuna,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,2/1/26 5:12 PM,CHEFS SET,CHEFS SET,FOOD,Food,43.00,1.0,false
5,2/1/26 5:12 PM,Yellowtail,CHEFS SET,FOOD,Food,0.00,1.0,false
5,2/1/26 5:12 PM,California,CHEFS SET,FOOD,Food,0.00,1.0,false
5,2/1/26 5:12 PM,Bluefin Tuna Poke,CHEFS SET,FOOD,Food,0.00,1.0,false
5,2/1/26 5:12 PM,Bluefin Tuna Toro,CHEFS SET,FOOD,Food,0.00,1.0,false
5,2/1/26 5:12 PM,Bay Scallop Dynamite,CHEFS SET,FOOD,Food,0.00,1.0,false
3,2/1/26 5:12 PM,Noriko Oyster,STARTERS,FOOD,Food,12.00,2.0,false
3,2/1/26 5:12 PM,Sunomono Sour,COCKTAILS,BEV,Liquor,17.00,1.0,false
3,2/1/26 5:12 PM,Tokyo Story,COCKTAILS,BEV,Liquor,17.00,1.0,false
4,2/1/26 5:16 PM,Seaweed Salad,STARTERS,FOOD,Food,11.00,1.0,false
4,2/1/26 5:16 PM,Bluefin Tuna Toro,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
4,2/1/26 5:16 PM,Ika Aburi,PREMIUM A LA CARTE,FOOD,Food,11.00,1.0,false
4,2/1/26 5:16 PM,Chef Series: Cá Ngân,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
4,2/1/26 5:16 PM,Bay Scallop Dynamite,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
4,2/1/26 5:16 PM,California,CLASSICS A LA CARTE,FOOD,Food,8.00,1.0,false
4,2/1/26 5:16 PM,Sweet Shrimp,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
4,2/1/26 5:16 PM,Bluefin Tuna Toro,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
5,2/1/26 5:17 PM,G-Sauvignon Blanc,WINE,BEV,Wine/Sake,24.00,1.0,false
5,2/1/26 5:17 PM,Sunomono Sour,COCKTAILS,BEV,Liquor,17.00,1.0,false
6,2/1/26 5:21 PM,Hitachino White ale,BEERS,BEV,Beer,14.00,1.0,false
3,2/1/26 5:23 PM,Yellowtail,CLASSICS A LA CARTE,FOOD,Food,8.00,1.0,false
3,2/1/26 5:23 PM,Bluefin Tuna Poke,CLASSICS A LA CARTE,FOOD,Food,9.00,1.0,false
3,2/1/26 5:23 PM,Sweet Shrimp,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
3,2/1/26 5:23 PM,Bay Scallop Dynamite,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
3,2/1/26 5:23 PM,Chef Series: Cá Ngân,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
3,2/1/26 5:23 PM,Sweet Shrimp,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
3,2/1/26 5:23 PM,Hokkaido Uni,PREMIUM A LA CARTE,FOOD,Food,26.00,1.0,false
3,2/1/26 5:23 PM,Bluefin Tuna Toro,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
3,2/1/26 5:23 PM,Ika Aburi,PREMIUM A LA CARTE,FOOD,Food,11.00,1.0,false
3,2/1/26 5:23 PM,Chef Series: Cá Ngân,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
7,2/1/26 5:24 PM,Noriko Oyster,STARTERS,FOOD,Food,12.00,2.0,false
7,2/1/26 5:24 PM,SIGNATURE SET,SIGNATURE SET,FOOD,Food,29.00,1.0,false
7,2/1/26 5:24 PM,Yellowtail,SIGNATURE SET,FOOD,Food,0.00,1.0,false
7,2/1/26 5:24 PM,California,SIGNATURE SET,FOOD,Food,0.00,1.0,false
7,2/1/26 5:24 PM,King Salmon Avocado,SIGNATURE SET,FOOD,Food,0.00,1.0,false
7,2/1/26 5:24 PM,Bluefin Spicy Tuna,SIGNATURE SET,FOOD,Food,0.00,1.0,false
7,2/1/26 5:24 PM,Sweet Shrimp,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
7,2/1/26 5:24 PM,CHEFS SET,CHEFS SET,FOOD,Food,43.00,1.0,false
7,2/1/26 5:24 PM,Yellowtail,CHEFS SET,FOOD,Food,0.00,1.0,false
7,2/1/26 5:24 PM,California,CHEFS SET,FOOD,Food,0.00,1.0,false
7,2/1/26 5:24 PM,Bluefin Tuna Poke,CHEFS SET,FOOD,Food,0.00,1.0,false
7,2/1/26 5:24 PM,Bluefin Tuna Toro,CHEFS SET,FOOD,Food,0.00,1.0,false
7,2/1/26 5:24 PM,Bay Scallop Dynamite,CHEFS SET,FOOD,Food,0.00,1.0,false
8,2/1/26 5:25 PM,Sunomono Sour,COCKTAILS,BEV,Liquor,17.00,1.0,false
8,2/1/26 5:25 PM,Nori Chips & Dip,STARTERS,FOOD,Food,10.00,1.0,false
8,2/1/26 5:25 PM,Noriko Oyster,STARTERS,FOOD,Food,24.00,4.0,false
