Order #,Sent Date,Menu Item,Menu Group,Menu,Sales Category,Net Price,Qty,Void?
1,1/2/26 4:00 PM,Wagyu Tataki,PREMIUM A LA CARTE,FOOD,Food,0.00,1.0,false
1,1/2/26 4:00 PM,Bluefin Tuna Akami,PREMIUM A LA CARTE,FOOD,Food,0.00,1.0,false
1,1/2/26 4:00 PM,Japanese Ika,PREMIUM A LA CARTE,FOOD,Food,0.00,1.0,false
1,1/2/26 4:00 PM,Spicy Bluefin Tuna,CLASSICS A LA CARTE,FOOD,Food,0.00,1.0,false
3,1/2/26 5:06 PM,Don Julio Blanco,SPIRITS,BEV,Liquor,16.00,1.0,false
3,1/2/26 5:06 PM,Puncha Matcha,COCKTAILS,BEV,Liquor,17.00,1.0,false
4,1/2/26 5:08 PM,Sunomono Sour,COCKTAILS,BEV,Liquor,17.00,1.0,false
4,1/2/26 5:08 PM,Bodacious Berry,BEERS,BEV,Beer,9.00,1.0,false
6,1/2/26 5:09 PM,Mountain Valley Sparkling,NA BEV,BEV,NA Beverage,10.00,1.0,true
6,1/2/26 5:09 PM,Bodacious Berry,BEERS,BEV,Beer,9.00,1.0,true
5,1/2/26 5:09 PM,Bodacious Berry,BEERS,BEV,Beer,9.00,1.0,true
5,1/2/26 5:09 PM,Mountain Valley Sparkling,NA BEV,BEV,NA Beverage,10.00,1.0,false
7,1/2/26 5:14 PM,Diet Coke,NA BEV,BEV,NA Beverage,3.00,1.0,false
7,1/2/26 5:14 PM,Classic Highball,COCKTAILS,BEV,Liquor,14.00,1.0,false
3,1/2/26 5:14 PM,Sake Flight,SAKE,BEV,Wine/Sake,26.00,1.0,false
3,1/2/26 5:14 PM,Noriko Oyster,STARTERS,FOOD,Food,12.00,2.0,false
5,1/2/26 5:15 PM,Pork Belly,STARTERS,FOOD,Food,9.00,1.0,false
5,1/2/26 5:15 PM,Nori Chips & Dip,STARTERS,FOOD,Food,10.00,1.0,false
5,1/2/26 5:15 PM,Uni butter noodles,SPECIALS,FOOD,Food,35.00,1.0,false
5,1/2/26 5:15 PM,SIGNATURE SET,SIGNATURE SET,FOOD,Food,29.00,1.0,true
5,1/2/26 5:15 PM,Yellowtail,SIGNATURE SET,FOOD,Food,0.00,1.0,true
5,1/2/26 5:15 PM,California,SIGNATURE SET,FOOD,Food,0.00,1.0,true
5,1/2/26 5:15 PM,King Salmon Avocado,SIGNATURE SET,FOOD,Food,0.00,1.0,true
5,1/2/26 5:15 PM,Bluefin Spicy Tuna,SIGNATURE SET,FOOD,Food,0.00,1.0,true
5,1/2/26 5:15 PM,SIGNATURE SET,SIGNATURE SET,FOOD,Food,29.00,1.0,true
5,1/2/26 5:15 PM,Yellowtail,SIGNATURE SET,FOOD,Food,0.00,1.0,true
5,1/2/26 5:15 PM,California,SIGNATURE SET,FOOD,Food,0.00,1.0,true
5,1/2/26 5:15 PM,King Salmon Avocado,SIGNATURE SET,FOOD,Food,0.00,1.0,true
5,1/2/26 5:15 PM,Bluefin Spicy Tuna,SIGNATURE SET,FOOD,Food,0.00,1.0,true
2,1/2/26 5:16 PM,G-Prosecco,WINE,BEV,Wine/Sake,14.00,1.0,false
2,1/2/26 5:16 PM,Sake Flight,SAKE,BEV,Wine/Sake,26.00,1.0,false
2,1/2/26 5:16 PM,Pork Belly,STARTERS,FOOD,Food,9.00,1.0,false
2,1/2/26 5:16 PM,Smoked Edamame,STARTERS,FOOD,Food,8.00,1.0,false
8,1/2/26 5:18 PM,Echi Daiginjo 300mL,SAKE,BEV,Wine/Sake,50.00,1.0,false
8,1/2/26 5:18 PM,Bluefin Tuna Toro,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
8,1/2/26 5:18 PM,Bay Scallop Dynamite,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
8,1/2/26 5:18 PM,Uni butter noodles,SPECIALS,FOOD,Food,21.00,1.0,false
8,1/2/26 5:18 PM,Bluefin Tuna Toro,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
8,1/2/26 5:18 PM,Bay Scallop Dynamite,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
8,1/2/26 5:18 PM,Bluefin Tuna Akami,PREMIUM A LA CARTE,FOOD,Food,14.00,1.0,false
8,1/2/26 5:18 PM,Bluefin Tuna Toro,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
4,1/2/26 5:20 PM,Nori Chips & Dip,STARTERS,FOOD,Food,10.00,1.0,false
4,1/2/26 5:20 PM,Noriko Oyster,STARTERS,FOOD,Food,12.00,2.0,false
4,1/2/26 5:20 PM,CHEFS SET,CHEFS SET,FOOD,Food,43.00,1.0,false
4,1/2/26 5:20 PM,Yellowtail,CHEFS SET,FOOD,Food,0.00,1.0,false
4,1/2/26 5:20 PM,California,CHEFS SET,FOOD,Food,0.00,1.0,false
4,1/2/26 5:20 PM,Bluefin Tuna Poke,CHEFS SET,FOOD,Food,0.00,1.0,false
4,1/2/26 5:20 PM,Bluefin Tuna Toro,CHEFS SET,FOOD,Food,0.00,1.0,false
4,1/2/26 5:20 PM,Bay Scallop Dynamite,CHEFS SET,FOOD,Food,0.00,1.0,false
4,1/2/26 5:20 PM,CHEFS SET,CHEFS SET,FOOD,Food,43.00,1.0,false
4,1/2/26 5:20 PM,Yellowtail,CHEFS SET,FOOD,Food,0.00,1.0,false
4,1/2/26 5:20 PM,California,CHEFS SET,FOOD,Food,0.00,1.0,false
4,1/2/26 5:20 PM,Bluefin Tuna Poke,CHEFS SET,FOOD,Food,0.00,1.0,false
4,1/2/26 5:20 PM,Bluefin Tuna Toro,CHEFS SET,FOOD,Food,0.00,1.0,false
4,1/2/26 5:20 PM,Bay Scallop Dynamite,CHEFS SET,FOOD,Food,0.00,1.0,false
7,1/2/26 5:20 PM,Noriko Oyster,STARTERS,FOOD,Food,12.00,2.0,false
7,1/2/26 5:20 PM,Nori Chips & Dip,STARTERS,FOOD,Food,10.00,1.0,false
7,1/2/26 5:20 PM,Hamachi Poke,STARTERS,FOOD,Food,11.00,1.0,false
7,1/2/26 5:20 PM,CHEFS SET,CHEFS SET,FOOD,Food,43.00,1.0,false
7,1/2/26 5:20 PM,Yellowtail,CHEFS SET,FOOD,Food,0.00,1.0,false
7,1/2/26 5:20 PM,California,CHEFS SET,FOOD,Food,0.00,1.0,false
7,1/2/26 5:20 PM,Bluefin Tuna Poke,CHEFS SET,FOOD,Food,0.00,1.0,false
7,1/2/26 5:20 PM,Bluefin Tuna Toro,CHEFS SET,FOOD,Food,0.00,1.0,false
7,1/2/26 5:20 PM,Bay Scallop Dynamite,CHEFS SET,FOOD,Food,0.00,1.0,false
7,1/2/26 5:20 PM,CHEFS SET,CHEFS SET,FOOD,Food,43.00,1.0,false
7,1/2/26 5:20 PM,Yellowtail,CHEFS SET,FOOD,Food,0.00,1.0,false
7,1/2/26 5:20 PM,California,CHEFS SET,FOOD,Food,0.00,1.0,false
7,1/2/26 5:20 PM,Bluefin Tuna Poke,CHEFS SET,FOOD,Food,0.00,1.0,false
7,1/2/26 5:20 PM,Bluefin Tuna Toro,CHEFS SET,FOOD,Food,0.00,1.0,false
7,1/2/26 5:20 PM,Bay Scallop Dynamite,CHEFS SET,FOOD,Food,0.00,1.0,false
3,1/2/26 5:21 PM,CLASSIC SET,CLASSIC SET,FOOD,Food,22.00,1.0,false
3,1/2/26 5:21 PM,Yellowtail,CLASSIC SET,FOOD,Food,0.00,1.0,false
3,1/2/26 5:21 PM,California,CLASSIC SET,FOOD,Food,0.00,1.0,false
3,1/2/26 5:21 PM,Spicy Ora King Salmon,CLASSIC SET,FOOD,Food,0.00,1.0,false
3,1/2/26 5:21 PM,Bluefin Tuna Akami,PREMIUM A LA CARTE,FOOD,Food,14.00,1.0,false
3,1/2/26 5:21 PM,Bluefin Tuna Akami,PREMIUM A LA CARTE,FOOD,Food,14.00,1.0,false
3,1/2/26 5:21 PM,Crab Motoyaki,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
3,1/2/26 5:21 PM,Crab Motoyaki,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
5,1/2/26 5:25 PM,SIGNATURE SET,SIGNATURE SET,FOOD,Food,29.00,1.0,true
5,1/2/26 5:25 PM,Yellowtail,SIGNATURE SET,FOOD,Food,0.00,1.0,true
5,1/2/26 5:25 PM,California,SIGNATURE SET,FOOD,Food,0.00,1.0,true
5,1/2/26 5:25 PM,King Salmon Avocado,SIGNATURE SET,FOOD,Food,0.00,1.0,true
5,1/2/26 5:25 PM,Bluefin Spicy Tuna,SIGNATURE SET,FOOD,Food,0.00,1.0,true
9,1/2/26 5:26 PM,Puncha Matcha,COCKTAILS,BEV,Liquor,17.00,1.0,false
9,1/2/26 5:26 PM,Classic Highball,COCKTAILS,BEV,Liquor,14.00,1.0,false
5,1/2/26 5:27 PM,SIGNATURE SET,SIGNATURE SET,FOOD,Food,29.00,1.0,false
5,1/2/26 5:27 PM,Yellowtail,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,1/2/26 5:27 PM,California,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,1/2/26 5:27 PM,King Salmon Avocado,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,1/2/26 5:27 PM,Bluefin Spicy Tuna,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,1/2/26 5:27 PM,SIGNATURE SET,SIGNATURE SET,FOOD,Food,29.00,1.0,false
5,1/2/26 5:27 PM,Yellowtail,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,1/2/26 5:27 PM,California,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,1/2/26 5:27 PM,King Salmon Avocado,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,1/2/26 5:27 PM,Bluefin Spicy Tuna,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,1/2/26 5:27 PM,SIGNATURE SET,SIGNATURE SET,FOOD,Food,29.00,1.0,false
5,1/2/26 5:27 PM,Yellowtail,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,1/2/26 5:27 PM,California,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,1/2/26 5:27 PM,King Salmon Avocado,SIGNATURE SET,FOOD,Food,0.00,1.0,false
5,1/2/26 5:27 PM,Bluefin Spicy Tuna,SIGNATURE SET,FOOD,Food,0.00,1.0,false
9,1/2/26 5:28 PM,Uni butter noodles,SPECIALS,FOOD,Food,21.00,1.0,false
5,1/2/26 5:29 PM,Kolsch Beer,,,Wine/Sake,9.00,1.0,false
5,1/2/26 5:30 PM,Noriko Oyster,STARTERS,FOOD,Food,0.00,3.0,false
2,1/2/26 5:31 PM,Spicy Ora King Salmon,CLASSICS A LA CARTE,FOOD,Food,9.00,1.0,false
2,1/2/26 5:31 PM,Spicy Octopus,CLASSICS A LA CARTE,FOOD,Food,9.00,1.0,false
2,1/2/26 5:31 PM,Bay Scallop Dynamite,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
2,1/2/26 5:31 PM,Crab Motoyaki,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
2,1/2/26 5:31 PM,Spicy Octopus,CLASSICS A LA CARTE,FOOD,Food,9.00,1.0,false
2,1/2/26 5:31 PM,Bay Scallop Dynamite,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
2,1/2/26 5:31 PM,Crab Motoyaki,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
2,1/2/26 5:31 PM,Wagyu Tataki,PREMIUM A LA CARTE,FOOD,Food,28.00,1.0,false
9,1/2/26 5:32 PM,Bluefin Tuna Akami,PREMIUM A LA CARTE,FOOD,Food,28.00,1.0,false
9,1/2/26 5:32 PM,Bluefin Tuna Toro,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
9,1/2/26 5:32 PM,Sweet Shrimp,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
9,1/2/26 5:32 PM,Bluefin Tuna Akami,PREMIUM A LA CARTE,FOOD,Food,28.00,1.0,false
9,1/2/26 5:32 PM,Bluefin Tuna Toro,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
9,1/2/26 5:32 PM,Sweet Shrimp,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
5,1/2/26 5:32 PM,Extra Chips,STARTERS,FOOD,Food,0.00,1.0,false
5,1/2/26 5:34 PM,Nori Chips & Dip,STARTERS,FOOD,Food,10.00,1.0,false
