Order #,Sent Date,Menu Item,Menu Group,Menu,Sales Category,Net Price,Qty,Void?
1,3/1/26 5:00 PM,Mountain Valley Sparkling,NA BEV,BEV,NA Beverage,10.00,1.0,false
1,3/1/26 5:05 PM,Nori Chips & Dip,STARTERS,FOOD,Food,10.00,1.0,false
1,3/1/26 5:06 PM,Puncha Matcha,COCKTAILS,BEV,Liquor,17.00,1.0,false
1,3/1/26 5:06 PM,Tokyo Story,COCKTAILS,BEV,Liquor,17.00,1.0,false
1,3/1/26 5:06 PM,Yellowtail,CLASSICS A LA CARTE,FOOD,Food,8.00,1.0,false
1,3/1/26 5:06 PM,California,CLASSICS A LA CARTE,FOOD,Food,8.00,1.0,false
1,3/1/26 5:06 PM,Wagyu Tataki,PREMIUM A LA CARTE,FOOD,Food,28.00,1.0,false
1,3/1/26 5:06 PM,Doshi Doshi,PREMIUM A LA CARTE,FOOD,Food,38.00,1.0,false
1,3/1/26 5:06 PM,Chef Series: Perilla roll,PREMIUM A LA CARTE,FOOD,Food,14.00,1.0,false
1,3/1/26 5:06 PM,Yellowtail,CLASSICS A LA CARTE,FOOD,Food,8.00,1.0,false
1,3/1/26 5:06 PM,California,CLASSICS A LA CARTE,FOOD,Food,8.00,1.0,false
1,3/1/26 5:06 PM,Wagyu Tataki,PREMIUM A LA CARTE,FOOD,Food,28.00,1.0,false
1,3/1/26 5:06 PM,Doshi Doshi,PREMIUM A LA CARTE,FOOD,Food,38.00,1.0,false
1,3/1/26 5:06 PM,Chef Series: Perilla roll,PREMIUM A LA CARTE,FOOD,Food,14.00,1.0,false
2,3/1/26 5:08 PM,Tokyo Story,COCKTAILS,BEV,Liquor,17.00,1.0,false
2,3/1/26 5:08 PM,Tokyo Story,COCKTAILS,BEV,Liquor,17.00,1.0,false
2,3/1/26 5:08 PM,Sprite,NA BEV,BEV,NA Beverage,3.00,1.0,false
3,3/1/26 5:10 PM,Sake Flight,SAKE,BEV,Wine/Sake,26.00,1.0,false
3,3/1/26 5:10 PM,Diet Coke,NA BEV,BEV,NA Beverage,3.00,1.0,false
5,3/1/26 5:12 PM,Tokyo Story,COCKTAILS,BEV,Liquor,17.00,1.0,false
5,3/1/26 5:12 PM,Puncha Matcha,COCKTAILS,BEV,Liquor,17.00,1.0,false
